S.No,Business Type,Business Name,Login Email,Password,City,State,Modules,POS,Inventory,Invoicing,Appointments,Fees,Lease,Seed Status,Login Test,Dashboard Test,POS Test,Inventory Test,Invoicing Test,Appointments Test,Fees Test,Customers Test,Reports Test,Staff Test,Expenses Test,Bugs Found,Bug Description,Bug Status,SOP Written,Overall Status,Tested By,Test Date,Notes
40,BEAUTY_PARLOUR,Shringar Beauty Parlour,owner@shringar beauty.test,Test@1234,Delhi,Delhi,"appointments, pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
41,SPA,Serenity Spa & Wellness,owner@serenityspa.test,Test@1234,Mumbai,Maharashtra,"appointments, fees, invoicing, customers, reports",No,No,Yes,Yes,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
42,LAUNDRY,Clean & Press Laundry,owner@cleanpresslaundry.test,Test@1234,Pune,Maharashtra,"pos, appointments, invoicing, customers, reports",Yes,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
43,TAILORING,Master Tailor & Co,owner@mastertailorco.test,Test@1234,Surat,Gujarat,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
44,BARBERSHOP,Gents Cut Barbershop,owner@gentscutbarbershop.test,Test@1234,Chandigarh,Punjab,"appointments, pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,Yes,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
45,HOME_TUITION,Home Tutors India,owner@hometutorsindia.test,Test@1234,Delhi,Delhi,"fees, invoicing, customers, reports",No,No,Yes,No,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
46,MUSIC_SCHOOL,Sur Sangam Music School,owner@sursangammusic.test,Test@1234,Kolkata,West Bengal,"fees, appointments, inventory, invoicing, customers, reports",No,Yes,Yes,Yes,Yes,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
47,DANCE_ACADEMY,Natya Dance Academy,owner@natyadanceacademy.test,Test@1234,Mumbai,Maharashtra,"fees, appointments, invoicing, customers, reports",No,No,Yes,Yes,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
48,DRIVING_SCHOOL,Safe Drive School,owner@safedriveschool.test,Test@1234,Lucknow,Uttar Pradesh,"fees, appointments, invoicing, customers, reports",No,No,Yes,Yes,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
49,COMPUTER_TRAINING,DigiLearn Computer Institute,owner@digilearninstitute.test,Test@1234,Bangalore,Karnataka,"fees, appointments, invoicing, customers, reports",No,No,Yes,Yes,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
50,CA_FIRM,Sharma & Associates CA,owner@sharmaassociatesca.test,Test@1234,Delhi,Delhi,"fees, invoicing, customers, reports",No,No,Yes,No,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
51,LAW_FIRM,Legal Eagle Law Firm,owner@legaleaglelawfirm.test,Test@1234,Mumbai,Maharashtra,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
52,REAL_ESTATE,PropFirst Realty,owner@propfirstrealty.test,Test@1234,Gurugram,Haryana,"appointments, lease, invoicing, customers, reports",No,No,Yes,Yes,No,Yes,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
53,INSURANCE_AGENCY,SecureLife Insurance Agency,owner@securlifeinsurance.test,Test@1234,Pune,Maharashtra,"fees, invoicing, customers, reports",No,No,Yes,No,Yes,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
54,TRAVEL_AGENCY,Yatra Travel Agency,owner@yatratravelagency.test,Test@1234,Jaipur,Rajasthan,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
55,PHOTOGRAPHY,Shutter Click Photography,owner@shutterclickphoto.test,Test@1234,Bangalore,Karnataka,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
56,DIGITAL_AGENCY,PixelCraft Digital Agency,owner@pixelcraftdigital.test,Test@1234,Hyderabad,Telangana,"invoicing, customers, reports",No,No,Yes,No,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
57,CAB_SERVICE,CityRide Cab Service,owner@cityridecab.test,Test@1234,Delhi,Delhi,"pos, invoicing, customers, reports",Yes,No,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,N/A,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
58,TRANSPORT,Swift Transport Co,owner@swifttransportco.test,Test@1234,Mumbai,Maharashtra,"invoicing, customers, reports",No,No,Yes,No,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
59,CAR_RENTAL,DriveEasy Car Rental,owner@driveasycarrental.test,Test@1234,Goa,Goa,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
60,COURIER,QuickSend Courier,owner@quicksendcourier.test,Test@1234,Chennai,Tamil Nadu,"pos, invoicing, customers, reports",Yes,No,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,N/A,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
61,PACKERS_MOVERS,SafeMove Packers & Movers,owner@safemovepackers.test,Test@1234,Bangalore,Karnataka,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
62,CONSTRUCTION,BuildRight Construction,owner@buildrightconstruction.test,Test@1234,Delhi,Delhi,"invoicing, customers, reports",No,No,Yes,No,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
63,INTERIOR_DESIGN,SpaceCraft Interior Design,owner@spacecraftinterior.test,Test@1234,Mumbai,Maharashtra,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
64,CO_WORKING,WorkNest Co-Working Space,owner@worknestcoworking.test,Test@1234,Bangalore,Karnataka,"lease, invoicing, customers, reports",No,No,Yes,No,No,Yes,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
65,DEALER,Prime Auto Dealer,owner@primeautodealer.test,Test@1234,Pune,Maharashtra,"pos, inventory, invoicing, customers, reports",Yes,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,Not Tested,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
66,SUPPLIER,Metro Suppliers,owner@metrosuppliers.test,Test@1234,Ahmedabad,Gujarat,"inventory, invoicing, customers, reports",No,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
67,WHOLESALE,Bulk Buy Wholesale,owner@bulkbuywholesale.test,Test@1234,Surat,Gujarat,"inventory, invoicing, customers, reports",No,Yes,Yes,No,No,No,Pending,Not Tested,Not Tested,N/A,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
68,PEST_CONTROL,BugFree Pest Control,owner@bugfreepestcontrol.test,Test@1234,Hyderabad,Telangana,"appointments, invoicing, customers, reports",No,No,Yes,Yes,No,No,Pending,Not Tested,Not Tested,N/A,N/A,Not Tested,Not Tested,N/A,Not Tested,Not Tested,Not Tested,Not Tested,0,,,No,Not Started,,,
